Date,Industrial_ISM_lag1,ISM_change_lag1
2011-11-30,51.4,-2.3000000000000043
2011-12-31,51.8,0.3999999999999986
2012-01-31,53.0,1.2000000000000028
2012-02-29,54.2,1.2000000000000028
2012-03-31,53.3,-0.9000000000000057
2012-04-30,53.5,0.20000000000000284
2012-05-31,55.2,1.7000000000000028
2012-06-30,53.2,-2.0
2012-07-31,49.5,-3.700000000000003
2012-08-31,49.6,0.10000000000000142
2012-09-30,49.0,-0.6000000000000014
2012-10-31,50.8,1.7999999999999972
2012-11-30,50.5,-0.29999999999999716
2012-12-31,48.0,-2.5
2013-01-31,50.1,2.1000000000000014
2013-02-28,53.3,3.1999999999999957
2013-03-31,54.2,0.9000000000000057
2013-04-30,51.9,-2.3000000000000043
2013-05-31,51.0,-0.8999999999999986
2013-06-30,50.8,-0.20000000000000284
2013-07-31,51.1,0.30000000000000426
2013-08-31,53.8,2.6999999999999957
2013-09-30,54.0,0.20000000000000284
2013-10-31,54.6,0.6000000000000014
2013-11-30,54.6,0.0
2013-12-31,55.5,0.8999999999999986
2014-01-31,56.5,1.0
2014-02-28,52.5,-4.0
2014-03-31,55.0,2.5
2014-04-30,55.9,0.8999999999999986
2014-05-31,56.6,0.7000000000000028
2014-06-30,55.7,-0.8999999999999986
2014-07-31,55.0,-0.7000000000000028
2014-08-31,55.1,0.10000000000000142
2014-09-30,56.3,1.1999999999999957
2014-10-31,55.7,-0.5999999999999943
2014-11-30,56.2,0.5
2014-12-31,56.3,0.09999999999999432
2015-01-31,55.7,-0.5999999999999943
2015-02-28,53.9,-1.8000000000000043
2015-03-31,53.0,-0.8999999999999986
2015-04-30,52.1,-0.8999999999999986
2015-05-31,51.9,-0.20000000000000284
2015-06-30,52.9,1.0
2015-07-31,52.5,-0.3999999999999986
2015-08-31,52.0,-0.5
2015-09-30,50.2,-1.7999999999999972
2015-10-31,50.1,-0.10000000000000142
2015-11-30,49.1,-1.0
2015-12-31,49.1,0.0
2016-01-31,48.7,-0.3999999999999986
2016-02-29,47.6,-1.1000000000000014
2016-03-31,49.2,1.6000000000000014
2016-04-30,51.0,1.7999999999999972
2016-05-31,51.3,0.29999999999999716
2016-06-30,51.4,0.10000000000000142
2016-07-31,52.2,0.8000000000000043
2016-08-31,52.7,0.5
2016-09-30,49.8,-2.9000000000000057
2016-10-31,51.1,1.3000000000000043
2016-11-30,51.8,0.6999999999999957
2016-12-31,53.2,1.4000000000000057
2017-01-31,54.4,1.1999999999999957
2017-02-28,55.7,1.3000000000000043
2017-03-31,57.7,2.0
2017-04-30,56.5,-1.2000000000000028
2017-05-31,55.8,-0.7000000000000028
2017-06-30,56.4,0.6000000000000014
2017-07-31,56.2,-0.19999999999999574
2017-08-31,56.5,0.29999999999999716
2017-09-30,58.4,1.8999999999999986
2017-10-31,60.0,1.6000000000000014
2017-11-30,58.6,-1.3999999999999986
2017-12-31,57.6,-1.0
2018-01-31,59.7,2.1000000000000014
2018-02-28,59.4,-0.30000000000000426
2018-03-31,60.9,1.5
2018-04-30,58.8,-2.1000000000000014
2018-05-31,58.6,-0.19999999999999574
2018-06-30,59.0,0.3999999999999986
2018-07-31,59.9,0.8999999999999986
2018-08-31,58.1,-1.7999999999999972
2018-09-30,60.5,2.3999999999999986
2018-10-31,59.3,-1.2000000000000028
2018-11-30,58.1,-1.1999999999999957
2018-12-31,58.6,0.5
2019-01-31,54.9,-3.700000000000003
2019-02-28,55.7,0.8000000000000043
2019-03-31,54.4,-1.3000000000000043
2019-04-30,54.9,0.5
2019-05-31,53.6,-1.2999999999999972
2019-06-30,52.6,-1.0
2019-07-31,51.5,-1.1000000000000014
2019-08-31,51.0,-0.5
2019-09-30,48.5,-2.5
2019-10-31,48.1,-0.3999999999999986
2019-11-30,48.1,0.0
2019-12-31,48.1,0.0
2020-01-31,47.9,-0.20000000000000284
2020-02-29,51.4,3.5
2020-03-31,50.1,-1.2999999999999972
2020-04-30,49.0,-1.1000000000000014
2020-05-31,41.8,-7.200000000000003
2020-06-30,43.5,1.7000000000000028
2020-07-31,52.6,9.100000000000001
2020-08-31,53.8,1.1999999999999957
2020-09-30,55.4,1.6000000000000014
2020-10-31,55.5,0.10000000000000142
2020-11-30,58.7,3.200000000000003
2020-12-31,57.3,-1.4000000000000057
2021-01-31,60.2,2.9000000000000057
2021-02-28,59.2,-1.0
2021-03-31,60.4,1.1999999999999957
2021-04-30,63.8,3.3999999999999986
2021-05-31,60.8,-3.0
2021-06-30,61.6,0.8000000000000043
2021-07-31,61.3,-0.30000000000000426
2021-08-31,60.2,-1.0999999999999943
2021-09-30,59.8,-0.4000000000000057
2021-10-31,60.8,1.0
2021-11-30,60.7,-0.09999999999999432
2021-12-31,60.8,0.09999999999999432
2022-01-31,58.3,-2.5
2022-02-28,57.4,-0.8999999999999986
2022-03-31,58.1,0.7000000000000028
2022-04-30,57.2,-0.8999999999999986
2022-05-31,55.3,-1.9000000000000057
2022-06-30,55.9,0.6000000000000014
2022-07-31,53.5,-2.3999999999999986
2022-08-31,52.9,-0.6000000000000014
2022-09-30,53.0,0.10000000000000142
2022-10-31,51.1,-1.8999999999999986
2022-11-30,50.3,-0.8000000000000043
2022-12-31,49.0,-1.2999999999999972
2023-01-31,48.0,-1.0
2023-02-28,47.1,-0.8999999999999986
2023-03-31,47.3,0.19999999999999574
2023-04-30,46.3,-1.0
2023-05-31,46.7,0.4000000000000057
2023-06-30,46.4,-0.30000000000000426
2023-07-31,46.3,-0.10000000000000142
2023-08-31,47.0,0.7000000000000028
2023-09-30,48.0,1.0
2023-10-31,48.7,0.7000000000000028
2023-11-30,47.4,-1.3000000000000043
2023-12-31,46.8,-0.6000000000000014
2024-01-31,46.9,0.10000000000000142
2024-02-29,48.6,1.7000000000000028
2024-03-31,47.4,-1.2000000000000028
2024-04-30,49.8,2.3999999999999986
2024-05-31,48.9,-0.8999999999999986
2024-06-30,48.6,-0.29999999999999716
2024-07-31,48.3,-0.30000000000000426
2024-08-31,47.4,-0.8999999999999986
2024-09-30,47.7,0.30000000000000426
2024-10-31,47.3,-0.4000000000000057
2024-11-30,47.0,-0.29999999999999716
2024-12-31,48.4,1.3999999999999986
2025-01-31,49.2,0.8000000000000043
2025-02-28,50.5,1.2999999999999972
2025-03-31,50.0,-0.5
2025-04-30,48.9,-1.1000000000000014
2025-05-31,48.8,-0.10000000000000142
2025-06-30,48.6,-0.19999999999999574
2025-07-31,49.0,0.3999999999999986
2025-08-31,48.4,-0.6000000000000014
2025-09-30,48.9,0.5
2025-10-31,48.9,0.0
2025-11-30,48.8,-0.10000000000000142
2025-12-31,48.0,-0.7999999999999972
2026-01-31,47.9,-0.10000000000000142
2026-02-28,52.6,4.700000000000003
